ID	POST
15941	1
16381	1
16411	1
18931	1
19051	1
21111	1
21321	1
191	1
391	1
50	0
481	1
621	1
330	0
631	1
360	0
671	1
921	1
961	1
340	0
5671	1
11761	1
16881	1
1871	1
2061	1
750	0
2860	0
2111	1
760	0
2581	1
2681	1
770	0
2721	1
2751	1
780	0
2811	1
2831	1
1230	0
2851	1
2861	1
3111	1
3171	1
3541	1
3631	1
3731	1
3871	1
3901	1
1010	0
1090	0
1100	0
1130	0
1170	0
1690	0
4021	1
4201	1
4241	1
1140	0
4371	1
1180	0
4401	1
4671	1
4691	1
4721	1
4741	1
2850	0
2890	0
4821	1
4881	1
1470	0
5021	1
1410	0
5101	1
5221	1
5281	1
5591	1
5801	1
5821	1
5881	1
1910	0
5891	1
5941	1
6181	1
6231	1
6531	1
8861	1
9001	1
9091	1
9121	1
10451	1
10491	1
14401	1
15231	1
6480	0
18911	1
19061	1
19131	1
181	1
251	1
311	1
371	1
240	0
991	1
250	0
1021	1
260	0
1331	1
270	0
1611	1
5621	1
6811	1
2160	0
2170	0
2360	0
6911	1
6941	1
6951	1
6961	1
6971	1
6981	1
2220	0
7751	1
7871	1
11421	1
11431	1
4160	0
11441	1
4180	0
4240	0
4440	0
4460	0
4480	0
4510	0
4690	0
11451	1
11461	1
4210	0
4520	0
5500	0
11471	1
11481	1
4220	0
4550	0
5510	0
11491	1
11511	1
4370	0
4570	0
11531	1
4380	0
4610	0
11541	1
4620	0
11551	1
4400	0
4630	0
11561	1
4390	0
4640	0
11571	1
12251	1
4680	0
4910	0
4970	0
5100	0
5110	0
5600	0
16671	1
16711	1
16981	1
6910	0
6970	0
17221	1
17401	1
1841	1
1971	1
2001	1
2131	1
2191	1
2641	1
3811	1
3921	1
4151	1
7361	1
15731	1
15891	1
15901	1
8851	1
9171	1
4070	0
9231	1
14381	1
14531	1
14571	1
15101	1
18821	1
19281	1
161	1
5571	1
11411	1
11731	1
4320	0
16641	1
16781	1
16901	1
17761	1
7140	0
1771	1
1831	1
510	0
640	0
8731	1
8781	1
8791	1
14371	1
18801	1
19161	1
19241	1
19271	1
20791	1
151	1
871	1
881	1
3711	1
5531	1
11331	1
11351	1
4350	0
4360	0
4780	0
4820	0
4830	0
4850	0
11361	1
4840	0
11401	1
11581	1
11601	1
11631	1
11641	1
4800	0
11671	1
11691	1
11711	1
12481	1
12521	1
13231	1
13531	1
5450	0
13541	1
5460	0
13561	1
5530	0
5550	0
5640	0
5850	0
16631	1
1751	1
4931	1
8651	1
10141	1
14361	1
15391	1
18791	1
141	1
451	1
130	0
180	0
1221	1
5481	1
5511	1
5871	1
6041	1
6301	1
6521	1
11271	1
16601	1
16961	1
16971	1
16991	1
17041	1
6850	0
17101	1
17561	1
1731	1
8561	1
8901	1
8991	1
14351	1
14431	1
14721	1
6640	0
6660	0
14861	1
6650	0
14871	1
14921	1
6170	0
15551	1
6500	0
6570	0
6600	0
15811	1
18671	1
18681	1
18691	1
18921	1
131	1
2071	1
2881	1
3791	1
4521	1
1210	0
5471	1
5661	1
1600	0
5701	1
5761	1
11221	1
11301	1
11381	1
4120	0
4150	0
16571	1
16751	1
1691	1
1861	1
610	0
6260	0
6630	0
1911	1
1961	1
600	0
2601	1
8091	1
2620	0
2760	0
5560	0
8681	1
8411	1
8451	1
8551	1
8581	1
9461	1
14271	1
14791	1
6110	0
6120	0
6140	0
14971	1
18661	1
18701	1
18721	1
18861	1
18881	1
18891	1
18951	1
121	1
171	1
10	0
150	0
170	0
670	0
2250	0
2300	0
201	1
20	0
220	0
430	0
480	0
650	0
2330	0
211	1
261	1
321	1
351	1
90	0
1321	1
2801	1
1750	0
2230	0
2320	0
2420	0
5991	1
7081	1
7111	1
2140	0
7581	1
2290	0
2350	0
7711	1
2390	0
8921	1
2910	0
9031	1
5451	1
5611	1
5651	1
1870	0
5831	1
5841	1
6161	1
6171	1
6571	1
11191	1
11201	1
4100	0
4140	0
4490	0
11371	1
4130	0
4300	0
11591	1
5030	0
5290	0
11611	1
6090	0
11621	1
4420	0
11721	1
5300	0
5330	0
5520	0
5880	0
11741	1
4500	0
11931	1
4280	0
12371	1
4870	0
4880	0
4900	0
5000	0
5830	0
6010	0
12561	1
13081	1
13281	1
13341	1
5580	0
13511	1
13671	1
13791	1
5690	0
14281	1
5900	0
5990	0
14291	1
6100	0
14541	1
14561	1
6000	0
14601	1
14641	1
14761	1
14771	1
16561	1
16721	1
16761	1
16771	1
16791	1
16821	1
16951	1
6940	0
17511	1
17521	1
1671	1
2201	1
2271	1
2441	1
2471	1
2561	1
2621	1
660	0
1430	0
4581	1
6081	1
2010	0
2070	0
11061	1
11241	1
14171	1
5840	0
14511	1
7310	0
7320	0
8361	1
8381	1
8831	1
14221	1
14341	1
14581	1
18611	1
19001	1
7300	0
111	1
5381	1
6621	1
2030	0
11181	1
11261	1
16551	1
21861	1
21891	1
1531	1
1591	1
2161	1
3281	1
3841	1
8341	1
9341	1
9411	1
14191	1
14211	1
5960	0
18581	1
19251	1
20451	1
20541	1
101	1
5371	1
11131	1
12771	1
12901	1
16531	1
21811	1
21821	1
21871	1
21881	1
1521	1
1561	1
840	0
860	0
1651	1
940	0
1721	1
1811	1
3511	1
3561	1
3721	1
8301	1
8351	1
8721	1
13121	1
14121	1
18571	1
18591	1
18601	1
18641	1
18711	1
18751	1
18771	1
18811	1
18851	1
18871	1
91	1
5321	1
5391	1
11111	1
13721	1
5590	0
13811	1
5740	0
16481	1
17201	1
21771	1
21781	1
21791	1
21801	1
1491	1
2401	1
4791	1
6741	1
2040	0
7861	1
2460	0
8031	1
2470	0
12301	1
4530	0
7730	0
15841	1
8281	1
8771	1
14031	1
14061	1
5750	0
14151	1
14181	1
14201	1
14251	1
5870	0
5890	0
16661	1
18561	1
21561	1
81	1
5261	1
6461	1
6471	1
7121	1
2100	0
2130	0
2190	0
2340	0
3310	0
7161	1
10841	1
3970	0
11071	1
11751	1
6720	0
12341	1
12791	1
5050	0
11101	1
11291	1
15351	1
16471	1
16611	1
16681	1
16801	1
16891	1
21751	1
21921	1
22091	1
1481	1
8181	1
8741	1
3340	0
14011	1
14051	1
5710	0
5760	0
5770	0
5780	0
6460	0
14111	1
14161	1
6470	0
6490	0
6540	0
6930	0
15701	1
6550	0
6560	0
15721	1
17131	1
17371	1
18521	1
18541	1
71	1
5211	1
5241	1
10971	1
16291	1
16451	1
16521	1
16581	1
16931	1
21661	1
21701	1
1461	1
2731	1
3091	1
3391	1
3471	1
8121	1
8151	1
8221	1
8231	1
8491	1
8761	1
8821	1
13981	1
14081	1
14231	1
14731	1
15561	1
18511	1
18531	1
7270	0
61	1
5151	1
5161	1
5251	1
1520	0
5291	1
5331	1
5351	1
1550	0
10901	1
11141	1
16281	1
16361	1
6790	0
16401	1
16431	1
16621	1
21641	1
21711	1
21721	1
21741	1
1431	1
2311	1
2671	1
3531	1
5401	1
8081	1
8211	1
13961	1
13991	1
14041	1
5720	0
6020	0
6060	0
6070	0
6080	0
6510	0
6580	0
14141	1
5790	0
5800	0
6030	0
6040	0
6520	0
15751	1
18501	1
51	1
5121	1
5501	1
1720	0
5581	1
5601	1
10861	1
10911	1
16271	1
16351	1
16371	1
16651	1
6810	0
21571	1
1421	1
5441	1
1540	0
6761	1
2430	0
4950	0
7991	1
13861	1
13881	1
14131	1
18491	1
41	1
5111	1
5141	1
5191	1
5201	1
6091	1
6671	1
6831	1
7401	1
7891	1
9201	1
3200	0
3500	0
3510	0
3760	0
3890	0
9581	1
3490	0
3590	0
10811	1
17391	1
18071	1
21761	1
10831	1
11311	1
16141	1
16211	1
16221	1
6740	0
16231	1
6760	0
16241	1
16691	1
16811	1
21391	1
