ID	FIRST	PREV	AVG	MIN	MAX	STDEV
19111	0.2312	0.1161	0.2381	0.1161	0.3207	0.0892
19151	0.1380	0.1638	0.1358	0.0721	0.1653	0.0378
19181	0.0301	0.1104	0.0801	0.0301	0.1104	0.0377
7580	0.0230	0.0017	0.0146	0.0017	0.0423	0.0160
19191	0.1134	0.0189	0.1274	0.0189	0.1796	0.0491
19401	0.0539	0.0753	0.0578	0.0041	0.1299	0.0354
19441	0.1874	0.1113	0.1050	0.0085	0.2427	0.0718
19511	0.1053	0.0673	0.0819	0.0351	0.1562	0.0372
19571	0.0939	0.0765	0.0810	0.0212	0.1492	0.0357
19601	0.0741	0.0416	0.0672	0.0128	0.1842	0.0532
19611	0.0627	0.0551	0.0734	0.0172	0.1676	0.0401
19631	0.2691	0.0955	0.1631	0.0240	0.4359	0.1205
19641	0.1475	0.1832	0.1538	0.0103	0.2531	0.0704
19661	0.0635	0.0969	0.0756	0.0133	0.1292	0.0350
19691	0.1132	0.0329	0.0787	0.0005	0.2626	0.0728
19821	0.0656	0.0547	0.0946	0.0117	0.3306	0.0852
19851	0.1762	0.2130	0.1212	0.0271	0.3162	0.0695
19891	0.1464	0.1098	0.0807	0.0070	0.1684	0.0424
7510	0.0210	0.1249	0.0276	0.0005	0.1249	0.0309
19921	0.2056	0.1147	0.1089	0.0096	0.2667	0.0751
19941	0.1210	0.1408	0.1018	0.0173	0.1748	0.0402
7860	0.0853	0.0707	0.0733	0.0030	0.1848	0.0540
20061	0.1530	0.0849	0.0883	0.0143	0.1990	0.0458
20081	0.1385	0.0653	0.0521	0.0037	0.1789	0.0395
20121	0.0809	0.1834	0.0635	0.0013	0.1984	0.0505
20131	0.1950	0.0238	0.0827	0.0000	0.3081	0.0819
20151	0.1054	0.1135	0.0931	0.0090	0.2068	0.0514
20181	0.1100	0.0870	0.0990	0.0100	0.1710	0.0444
20191	0.0691	0.0639	0.0587	0.0061	0.1056	0.0260
20211	0.1042	0.0797	0.0559	0.0076	0.1228	0.0328
20221	0.1325	0.0432	0.0685	0.0014	0.2007	0.0508
20231	0.0769	0.0163	0.0738	0.0049	0.1543	0.0356
20251	0.0706	0.0967	0.0703	0.0080	0.2364	0.0430
20261	0.0509	0.0280	0.0629	0.0007	0.1688	0.0381
20281	0.0626	0.0045	0.0614	0.0006	0.1588	0.0423
20301	0.2294	0.0482	0.1066	0.0123	0.2896	0.0666
20311	0.1362	0.1311	0.1139	0.0233	0.1861	0.0413
20321	0.0944	0.1228	0.0747	0.0054	0.1310	0.0355
20331	0.1312	0.0773	0.1115	0.0103	0.2176	0.0497
20361	0.1207	0.1294	0.0920	0.0262	0.2955	0.0485
20371	0.1260	0.1185	0.1091	0.0192	0.1914	0.0443
20401	0.1002	0.0843	0.0896	0.0146	0.1725	0.0418
20461	0.0757	0.0635	0.0785	0.0140	0.1639	0.0377
20471	0.0004	0.0079	0.0094	0.0000	0.0504	0.0122
20651	0.0938	0.0158	0.0763	0.0158	0.1781	0.0397
20661	0.0923	0.0785	0.0685	0.0019	0.1552	0.0390
20671	0.1042	0.2674	0.1193	0.0143	0.3252	0.0686
20831	0.1096	0.1943	0.0856	0.0073	0.2943	0.0548
20911	0.0874	0.0321	0.0457	0.0000	0.1464	0.0335
21011	0.1304	0.2935	0.1012	0.0011	0.2935	0.0684
21021	0.0552	0.1093	0.0727	0.0002	0.1584	0.0364
21031	0.0324	0.0466	0.0528	0.0058	0.1254	0.0287
21131	0.0460	0.0499	0.0443	0.0001	0.1139	0.0278
21141	0.0754	0.0664	0.0666	0.0002	0.2009	0.0419
21151	0.1053	0.0651	0.1121	0.0123	0.2819	0.0523
21161	0.1461	0.2227	0.1130	0.0077	0.2968	0.0672
21171	0.2903	0.0553	0.1098	0.0067	0.4355	0.1002
21181	0.0720	0.0002	0.0463	0.0002	0.2097	0.0436
21191	0.0258	0.2132	0.0757	0.0000	0.2968	0.0659
21211	0.1960	0.0223	0.0918	0.0002	0.2415	0.0466
21271	0.1557	0.1305	0.0991	0.0089	0.3669	0.0742
21291	0.0844	0.1681	0.0821	0.0001	0.1697	0.0458
21301	0.0634	0.0683	0.0991	0.0099	0.4477	0.0725
21351	0.1884	0.2836	0.1429	0.0206	0.3346	0.0755
21361	0.0419	0.1584	0.0594	0.0085	0.1584	0.0290
21401	0.1188	0.1282	0.1476	0.0179	0.4612	0.0922
21411	0.0523	0.0806	0.0785	0.0087	0.1981	0.0351
21501	0.0699	0.0790	0.0859	0.0044	0.2720	0.0462
21511	0.1776	0.0118	0.0504	0.0000	0.1776	0.0393
21521	0.1808	0.1648	0.0942	0.0008	0.3322	0.0635
21541	0.0652	0.0375	0.0618	0.0011	0.2111	0.0316
21581	0.0590	0.0672	0.0824	0.0027	0.2036	0.0390
21591	0.1285	0.1494	0.1291	0.0114	0.3553	0.0617
21601	0.0527	0.2388	0.0766	0.0073	0.2388	0.0451
21621	0.0248	0.0728	0.0501	0.0063	0.1448	0.0247
21651	0.1336	0.0638	0.0848	0.0062	0.1789	0.0332
21671	0.1238	0.0836	0.1051	0.0013	0.3148	0.0691
21681	0.1189	0.0705	0.0966	0.0157	0.2918	0.0573
21831	0.1205	0.1008	0.0916	0.0057	0.2073	0.0406
21901	0.0941	0.0718	0.0891	0.0012	0.3095	0.0666
21941	0.0956	0.1001	0.1113	0.0049	0.2520	0.0497
21991	0.1348	0.0852	0.0777	0.0004	0.1574	0.0376
22001	0.1002	0.0894	0.1054	0.0096	0.2632	0.0497
22011	0.2992	0.1746	0.1363	0.0110	0.3943	0.0866
22021	0.1317	0.2836	0.1037	0.0083	0.2836	0.0543
22031	0.0936	0.0831	0.0835	0.0028	0.2383	0.0418
22061	0.0999	0.1052	0.0933	0.0136	0.2186	0.0388
22071	0.1216	0.1149	0.1225	0.0086	0.2991	0.0486
22081	0.0754	0.0938	0.0853	0.0019	0.3215	0.0477
22101	0.1069	0.2041	0.1082	0.0040	0.2750	0.0490
22121	0.2700	0.1113	0.1455	0.0000	0.6296	0.1146
22131	0.2444	0.2472	0.1577	0.0074	0.3581	0.0701
22141	0.1977	0.2553	0.1217	0.0142	0.2931	0.0630
7950	0.1346	0.1536	0.1133	0.0087	0.2586	0.0484
20561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20841	0.0194	0.0194	0.0194	0.0194	0.0194	0.0000
7780	0.1051	0.0109	0.0580	0.0109	0.1051	0.0666
7880	0.0284	0.0045	0.0206	0.0045	0.0289	0.0139
7890	0.0029	0.0020	0.1346	0.0012	0.5324	0.2652
20901	0.0708	0.0024	0.0498	0.0003	0.1433	0.0595
20921	0.0861	0.0026	0.0533	0.0022	0.1925	0.0753
20931	0.1654	0.0071	0.0355	0.0003	0.1654	0.0586
20971	0.0743	0.0132	0.0208	0.0021	0.0743	0.0254
20981	0.0319	0.0015	0.0109	0.0012	0.0433	0.0157
20991	0.0274	0.0031	0.0407	0.0001	0.1304	0.0402
21081	0.1167	0.0048	0.0367	0.0019	0.1815	0.0592
21381	0.1488	0.0940	0.0830	0.0096	0.1853	0.0597
21441	0.0602	0.0368	0.0202	0.0025	0.0795	0.0247
21451	0.0188	0.3732	0.0484	0.0001	0.3732	0.0997
21471	0.1493	0.0785	0.0657	0.0023	0.2613	0.0740
21481	0.0532	0.1218	0.0947	0.0001	0.3887	0.1203
21731	0.0360	0.0509	0.0309	0.0003	0.1012	0.0324
21911	0.0394	0.0009	0.0269	0.0001	0.0899	0.0282
21931	0.0383	0.0000	0.0360	0.0000	0.2228	0.0573
21951	0.1197	0.0815	0.0589	0.0010	0.2281	0.0643
21961	0.3549	0.1612	0.0907	0.0022	0.3549	0.0913
21971	0.0626	0.0168	0.0291	0.0001	0.0866	0.0232
