ID	ABSOLUTE_MOD	RELATIVE_MOD
3951	0.0000	0.0000
1080	1.0000	0.0357
1120	1.0000	0.0455
3961	0.0000	0.0000
3971	0.0000	0.0000
4001	1.0000	0.0099
4061	0.0000	0.0000
4071	0.0000	0.0000
4081	0.0000	0.0000
4161	1.0000	0.0090
4181	1.0000	0.0125
4221	2.0000	0.0364
4281	0.0000	0.0000
4291	0.0000	0.0000
4761	0.0000	0.0000
4811	2.0000	0.0488
5361	1.0000	0.0044
5411	1.0000	0.0159
5541	0.0000	0.0000
5711	1.0000	0.0122
5811	0.0000	0.0000
5971	0.0000	0.0000
6001	0.0000	0.0000
6021	1.0000	0.0083
6031	1.0000	0.0122
6071	0.0000	0.0000
6241	1.0000	0.0159
6291	0.0000	0.0000
6351	0.0000	0.0000
6401	0.0000	0.0000
6421	0.0000	0.0000
6451	0.0000	0.0000
6581	2.0000	0.0060
6701	1.0000	0.0179
6711	0.0000	0.0000
6731	0.0000	0.0000
6821	1.0000	0.0143
6841	1.0000	0.0102
6871	1.0000	0.0106
6881	4.0000	0.0290
6891	1.0000	0.0143
7311	0.0000	0.0000
8481	0.0000	0.0000
12731	0.0000	0.0000
12931	3.0000	0.0417
14931	2.0000	0.0192
18091	1.0000	0.0476
4591	3.0000	0.0484
10401	2.0000	0.0476
15661	5.0000	0.0413
15681	2.0000	0.0282
15771	3.0000	0.0375
20111	1.0000	0.0175
20491	1.0000	0.0455
20581	0.0000	0.0000
20721	0.0000	0.0000
20811	4.0000	0.0296
22051	0.0000	0.0000
1011	2.0000	0.0244
7301	0.0000	0.0000
7901	0.0000	0.0000
2530	2.0000	0.0513
2540	0.0000	0.0000
8201	0.0000	0.0000
12871	2.0000	0.0131
12981	2.0000	0.0087
13021	4.0000	0.0030
5190	1.0000	0.0106
13921	0.0000	0.0000
18031	0.0000	0.0000
4571	1.0000	0.0063
5431	0.0000	0.0000
5461	0.0000	0.0000
10341	0.0000	0.0000
10351	1.0000	0.1429
15651	3.0000	0.0136
20091	0.0000	0.0000
21531	0.0000	0.0000
21611	0.0000	0.0000
911	2.0000	0.0317
931	0.0000	0.0000
7261	0.0000	0.0000
12801	3.0000	0.0330
12821	1.0000	0.0185
5060	4.0000	0.0930
5080	0.0000	0.0000
12841	2.0000	0.0392
13851	1.0000	0.0312
18001	0.0000	0.0000
18101	1.0000	0.0093
18301	0.0000	0.0000
7180	1.0000	0.0102
18461	1.0000	0.0106
18481	2.0000	0.0476
4491	0.0000	0.0000
6541	0.0000	0.0000
10251	0.0000	0.0000
10291	1.0000	0.0109
10331	1.0000	0.0054
3910	0.0000	0.0000
4010	3.0000	0.0129
10661	3.0000	0.0133
3920	0.0000	0.0000
3930	2.0000	0.0163
10691	0.0000	0.0000
3940	0.0000	0.0000
10741	4.0000	0.0140
3950	2.0000	0.0328
10881	1.0000	0.0149
10961	2.0000	0.0128
3980	0.0000	0.0000
4000	1.0000	0.0132
10991	1.0000	0.0052
15581	1.0000	0.0135
19991	2.0000	0.0909
811	0.0000	0.0000
1281	1.0000	0.0217
410	0.0000	0.0000
1471	0.0000	0.0000
420	0.0000	0.0000
2391	1.0000	0.0357
8101	0.0000	0.0000
2560	0.0000	0.0000
