ID	DAYS	HOURS	MINUTES
6860	7.0000	152.0000	9068.0000
7170	1.0000	6.0000	319.0000
20621	3.0000	49.0000	2905.0000
20761	2.0000	29.0000	1712.0000
7740	2.0000	26.0000	1560.0000
20871	2.0000	25.0000	1483.0000
7750	1.0000	24.0000	1389.0000
20941	1.0000	22.0000	1276.0000
7760	1.0000	18.0000	1076.0000
20951	1.0000	10.0000	571.0000
20961	1.0000	8.0000	456.0000
21251	6.0000	143.0000	8536.0000
21261	6.0000	142.0000	8497.0000
21281	6.0000	140.0000	8371.0000
21421	5.0000	119.0000	7095.0000
21461	5.0000	115.0000	6858.0000
22111	1.0000	6.0000	301.0000
1151	9.0000	215.0000	12878.0000
1181	9.0000	215.0000	12863.0000
200	9.0000	213.0000	12743.0000
210	9.0000	213.0000	12728.0000
1371	9.0000	212.0000	12718.0000
1381	9.0000	212.0000	12711.0000
280	9.0000	211.0000	12623.0000
520	9.0000	195.0000	11683.0000
1380	7.0000	149.0000	8881.0000
4451	7.0000	167.0000	10007.0000
4461	7.0000	167.0000	10000.0000
6431	4.0000	93.0000	5558.0000
7671	2.0000	42.0000	2500.0000
7691	2.0000	41.0000	2423.0000
8001	2.0000	30.0000	1747.0000
8241	1.0000	22.0000	1299.0000
2670	1.0000	18.0000	1070.0000
2700	1.0000	18.0000	1063.0000
8311	1.0000	19.0000	1106.0000
2680	1.0000	18.0000	1066.0000
2710	1.0000	18.0000	1029.0000
8321	1.0000	19.0000	1082.0000
2690	1.0000	18.0000	1065.0000
8471	1.0000	12.0000	692.0000
8501	1.0000	10.0000	573.0000
8661	1.0000	3.0000	147.0000
2820	7.0000	166.0000	9937.0000
3160	6.0000	135.0000	8066.0000
8801	7.0000	166.0000	9954.0000
3090	6.0000	144.0000	8594.0000
3100	6.0000	143.0000	8580.0000
3150	6.0000	137.0000	8180.0000
3330	6.0000	122.0000	7300.0000
8811	7.0000	166.0000	9943.0000
8911	7.0000	163.0000	9742.0000
9111	7.0000	151.0000	9034.0000
9471	6.0000	137.0000	8197.0000
13401	5.0000	109.0000	6524.0000
13461	5.0000	106.0000	6344.0000
13701	4.0000	86.0000	5152.0000
13951	3.0000	64.0000	3824.0000
14951	7.0000	165.0000	9883.0000
6210	7.0000	160.0000	9542.0000
15001	7.0000	163.0000	9735.0000
15041	7.0000	160.0000	9566.0000
6250	7.0000	158.0000	9449.0000
15111	7.0000	152.0000	9096.0000
15421	6.0000	133.0000	7946.0000
18261	1.0000	7.0000	407.0000
18331	7.0000	168.0000	10023.0000
4941	7.0000	150.0000	8976.0000
10561	3.0000	59.0000	3537.0000
10671	3.0000	53.0000	3180.0000
16021	2.0000	48.0000	2878.0000
16031	2.0000	48.0000	2857.0000
16041	2.0000	48.0000	2832.0000
16071	2.0000	44.0000	2583.0000
16091	2.0000	41.0000	2416.0000
16121	2.0000	35.0000	2054.0000
16181	2.0000	27.0000	1601.0000
16251	1.0000	24.0000	1439.0000
16311	1.0000	22.0000	1303.0000
16341	1.0000	22.0000	1279.0000
16441	1.0000	18.0000	1042.0000
16491	1.0000	10.0000	597.0000
16501	1.0000	10.0000	574.0000
16511	1.0000	9.0000	534.0000
16541	1.0000	6.0000	333.0000
16591	1.0000	3.0000	160.0000
16831	9.0000	212.0000	12699.0000
20591	3.0000	52.0000	3112.0000
20681	2.0000	40.0000	2352.0000
7770	1.0000	5.0000	273.0000
20801	2.0000	29.0000	1691.0000
20881	2.0000	25.0000	1483.0000
20891	2.0000	25.0000	1483.0000
21001	1.0000	3.0000	123.0000
7800	1.0000	1.0000	52.0000
1141	9.0000	215.0000	12880.0000
4531	7.0000	166.0000	9954.0000
7571	2.0000	44.0000	2598.0000
7651	2.0000	42.0000	2510.0000
2740	1.0000	12.0000	688.0000
8421	1.0000	14.0000	810.0000
8431	1.0000	13.0000	775.0000
8441	1.0000	13.0000	763.0000
10041	5.0000	99.0000	5897.0000
13381	5.0000	112.0000	6664.0000
13421	5.0000	109.0000	6491.0000
5400	5.0000	108.0000	6480.0000
18251	1.0000	7.0000	410.0000
18341	7.0000	167.0000	10009.0000
18401	7.0000	157.0000	9405.0000
18411	7.0000	156.0000	9337.0000
4921	7.0000	151.0000	9007.0000
5041	7.0000	149.0000	8885.0000
1480	6.0000	144.0000	8590.0000
5131	7.0000	147.0000	8801.0000
5311	6.0000	144.0000	8592.0000
5341	6.0000	142.0000	8473.0000
6501	4.0000	90.0000	5382.0000
6551	4.0000	85.0000	5067.0000
10541	3.0000	61.0000	3623.0000
10551	3.0000	60.0000	3545.0000
10931	2.0000	46.0000	2745.0000
11021	2.0000	44.0000	2620.0000
4090	2.0000	25.0000	1447.0000
11501	1.0000	24.0000	1403.0000
11521	1.0000	24.0000	1402.0000
4110	1.0000	23.0000	1349.0000
4650	7.0000	165.0000	9855.0000
4720	7.0000	162.0000	9692.0000
11781	1.0000	17.0000	994.0000
11961	1.0000	5.0000	259.0000
12331	7.0000	165.0000	9892.0000
4730	7.0000	162.0000	9688.0000
12441	7.0000	162.0000	9672.0000
15931	3.0000	65.0000	3883.0000
18971	2.0000	44.0000	2636.0000
7940	1.0000	4.0000	191.0000
19011	2.0000	33.0000	1974.0000
19111	1.0000	18.0000	1032.0000
19151	1.0000	6.0000	318.0000
19181	7.0000	168.0000	10049.0000
7580	4.0000	91.0000	5401.0000
19191	7.0000	167.0000	9996.0000
19401	6.0000	140.0000	8371.0000
19441	6.0000	132.0000	7874.0000
19511	6.0000	127.0000	7607.0000
19571	6.0000	126.0000	7523.0000
19601	6.0000	125.0000	7456.0000
19611	6.0000	123.0000	7370.0000
19631	6.0000	123.0000	7352.0000
19641	6.0000	122.0000	7307.0000
19661	6.0000	121.0000	7215.0000
19691	5.0000	119.0000	7110.0000
19821	5.0000	116.0000	6950.0000
19851	5.0000	113.0000	6780.0000
19891	5.0000	109.0000	6528.0000
7510	5.0000	107.0000	6364.0000
19921	5.0000	105.0000	6274.0000
19941	5.0000	104.0000	6191.0000
7860	6.0000	138.0000	8250.0000
20061	4.0000	95.0000	5675.0000
20081	4.0000	94.0000	5620.0000
20121	4.0000	93.0000	5531.0000
20131	4.0000	92.0000	5496.0000
20151	4.0000	91.0000	5451.0000
20181	4.0000	82.0000	4894.0000
20191	4.0000	81.0000	4856.0000
20211	4.0000	80.0000	4789.0000
20221	4.0000	79.0000	4702.0000
20231	4.0000	78.0000	4645.0000
20251	4.0000	76.0000	4545.0000
20261	4.0000	76.0000	4541.0000
20281	4.0000	75.0000	4445.0000
20301	4.0000	74.0000	4431.0000
20311	4.0000	74.0000	4421.0000
20321	4.0000	73.0000	4348.0000
20331	3.0000	72.0000	4274.0000
20361	3.0000	70.0000	4146.0000
20371	3.0000	68.0000	4079.0000
20401	3.0000	67.0000	4014.0000
20461	3.0000	64.0000	3802.0000
20471	3.0000	64.0000	3794.0000
20651	2.0000	46.0000	2760.0000
20661	2.0000	46.0000	2718.0000
20671	2.0000	44.0000	2614.0000
20831	2.0000	28.0000	1627.0000
20911	2.0000	25.0000	1446.0000
21011	1.0000	2.0000	112.0000
21021	1.0000	1.0000	52.0000
21031	7.0000	167.0000	9963.0000
21131	7.0000	162.0000	9695.0000
21141	7.0000	162.0000	9687.0000
21151	7.0000	156.0000	9349.0000
21161	7.0000	154.0000	9207.0000
21171	7.0000	153.0000	9136.0000
21181	7.0000	153.0000	9133.0000
21191	7.0000	152.0000	9119.0000
21211	7.0000	145.0000	8641.0000
21271	6.0000	140.0000	8372.0000
21291	6.0000	139.0000	8302.0000
21301	6.0000	138.0000	8250.0000
21351	6.0000	124.0000	7382.0000
21361	6.0000	122.0000	7308.0000
21401	5.0000	120.0000	7143.0000
21411	5.0000	119.0000	7115.0000
21501	5.0000	108.0000	6462.0000
21511	5.0000	107.0000	6361.0000
21521	5.0000	105.0000	6292.0000
21541	5.0000	98.0000	5828.0000
21581	4.0000	95.0000	5699.0000
21591	4.0000	95.0000	5680.0000
21601	4.0000	93.0000	5529.0000
21621	4.0000	86.0000	5133.0000
21651	4.0000	84.0000	5012.0000
21671	4.0000	82.0000	4901.0000
21681	4.0000	82.0000	4899.0000
21831	3.0000	68.0000	4063.0000
21901	3.0000	62.0000	3670.0000
21941	3.0000	50.0000	2995.0000
21991	2.0000	43.0000	2538.0000
22001	2.0000	40.0000	2371.0000
22011	2.0000	32.0000	1871.0000
22021	1.0000	21.0000	1257.0000
22031	1.0000	20.0000	1191.0000
22061	1.0000	15.0000	852.0000
22071	1.0000	15.0000	841.0000
22081	1.0000	12.0000	709.0000
22101	1.0000	6.0000	336.0000
22121	1.0000	3.0000	166.0000
22131	1.0000	2.0000	115.0000
22141	1.0000	2.0000	104.0000
7950	1.0000	1.0000	10.0000
20561	3.0000	54.0000	3230.0000
20841	2.0000	28.0000	1626.0000
7780	1.0000	2.0000	118.0000
7880	5.0000	117.0000	7017.0000
7890	5.0000	108.0000	6470.0000
20901	2.0000	25.0000	1473.0000
20921	1.0000	22.0000	1314.0000
20931	1.0000	22.0000	1313.0000
20971	1.0000	6.0000	344.0000
20981	1.0000	5.0000	269.0000
20991	1.0000	4.0000	214.0000
21081	7.0000	166.0000	9911.0000
21381	6.0000	122.0000	7264.0000
21441	5.0000	117.0000	7015.0000
21451	5.0000	115.0000	6859.0000
21471	5.0000	114.0000	6799.0000
21481	5.0000	112.0000	6718.0000
21731	4.0000	78.0000	4675.0000
21911	3.0000	60.0000	3563.0000
21931	3.0000	53.0000	3136.0000
21951	2.0000	48.0000	2855.0000
21961	2.0000	48.0000	2833.0000
21971	2.0000	47.0000	2766.0000
21981	2.0000	45.0000	2653.0000
1091	9.0000	216.0000	12921.0000
1121	9.0000	215.0000	12890.0000
1191	9.0000	215.0000	12861.0000
310	9.0000	207.0000	12403.0000
1341	9.0000	213.0000	12746.0000
7441	2.0000	46.0000	2751.0000
7781	2.0000	39.0000	2314.0000
2930	7.0000	154.0000	9233.0000
3680	4.0000	89.0000	5296.0000
4200	1.0000	19.0000	1124.0000
4290	1.0000	5.0000	265.0000
4660	7.0000	163.0000	9776.0000
4670	7.0000	163.0000	9749.0000
4700	7.0000	163.0000	9729.0000
8011	2.0000	29.0000	1736.0000
2490	2.0000	28.0000	1652.0000
2660	1.0000	20.0000	1166.0000
3540	5.0000	108.0000	6446.0000
3550	5.0000	108.0000	6445.0000
8141	2.0000	27.0000	1573.0000
4170	1.0000	22.0000	1306.0000
4190	1.0000	20.0000	1193.0000
8171	2.0000	26.0000	1519.0000
2570	1.0000	23.0000	1331.0000
2800	7.0000	167.0000	9964.0000
2840	7.0000	166.0000	9920.0000
8691	1.0000	2.0000	91.0000
2790	1.0000	1.0000	29.0000
8701	1.0000	2.0000	84.0000
8881	7.0000	164.0000	9786.0000
9071	7.0000	158.0000	9431.0000
2970	7.0000	149.0000	8887.0000
2980	7.0000	149.0000	8885.0000
3000	7.0000	148.0000	8855.0000
9131	7.0000	150.0000	8958.0000
2990	7.0000	148.0000	8858.0000
9151	7.0000	149.0000	8927.0000
9181	7.0000	148.0000	8833.0000
9321	6.0000	143.0000	8568.0000
9421	6.0000	139.0000	8340.0000
9571	6.0000	131.0000	7858.0000
9591	6.0000	127.0000	7594.0000
9931	5.0000	110.0000	6600.0000
3570	5.0000	107.0000	6420.0000
4030	2.0000	40.0000	2383.0000
9971	5.0000	106.0000	6326.0000
10001	5.0000	102.0000	6066.0000
10261	4.0000	73.0000	4367.0000
10621	3.0000	56.0000	3314.0000
10731	3.0000	52.0000	3081.0000
11031	2.0000	43.0000	2539.0000
11081	2.0000	41.0000	2431.0000
11871	1.0000	11.0000	604.0000
4260	1.0000	9.0000	504.0000
4310	1.0000	4.0000	229.0000
4540	7.0000	166.0000	9912.0000
4580	7.0000	165.0000	9891.0000
5820	3.0000	50.0000	2972.0000
12431	7.0000	162.0000	9682.0000
4790	7.0000	159.0000	9485.0000
15221	7.0000	147.0000	8811.0000
13161	6.0000	122.0000	7288.0000
18211	1.0000	23.0000	1339.0000
4771	7.0000	161.0000	9629.0000
4841	7.0000	155.0000	9293.0000
13131	6.0000	122.0000	7293.0000
10521	3.0000	62.0000	3681.0000
10711	3.0000	52.0000	3099.0000
4020	2.0000	43.0000	2553.0000
11051	2.0000	42.0000	2464.0000
15871	3.0000	68.0000	4058.0000
15881	3.0000	67.0000	4014.0000
20551	3.0000	55.0000	3276.0000
20601	3.0000	52.0000	3105.0000
1071	9.0000	216.0000	12956.0000
1111	9.0000	215.0000	12892.0000
1601	9.0000	208.0000	12432.0000
320	9.0000	207.0000	12392.0000
1661	9.0000	206.0000	12342.0000
380	9.0000	205.0000	12297.0000
7391	2.0000	47.0000	2784.0000
7431	2.0000	46.0000	2754.0000
7461	2.0000	46.0000	2718.0000
7521	2.0000	44.0000	2629.0000
7551	2.0000	44.0000	2601.0000
2810	7.0000	166.0000	9948.0000
7661	2.0000	42.0000	2502.0000
7761	2.0000	39.0000	2320.0000
7831	2.0000	36.0000	2156.0000
7921	2.0000	31.0000	1837.0000
2830	7.0000	166.0000	9936.0000
8601	1.0000	5.0000	254.0000
13091	6.0000	123.0000	7360.0000
13191	5.0000	120.0000	7173.0000
13261	5.0000	118.0000	7050.0000
13371	5.0000	112.0000	6667.0000
5390	5.0000	109.0000	6516.0000
13431	5.0000	108.0000	6470.0000
14441	2.0000	34.0000	2003.0000
